1989-7-6 17:0:0;47.26
1989-7-6 18:0:0;46.77
1989-7-6 19:0:0;49.7
1989-7-6 20:0:0;52.06
1989-7-6 21:0:0;50.88
1989-7-6 22:0:0;50.11
1989-7-6 23:0:0;49.99
1989-7-7 0:0:0;49.44
1989-7-7 1:0:0;48.63
1989-7-7 2:0:0;46.18
1989-7-7 3:0:0;45.33
1989-7-7 4:0:0;45.63
1989-7-7 5:0:0;45.98
1989-7-7 6:0:0;47.36
1989-7-7 7:0:0;47.93
1989-7-7 8:0:0;51.03
1989-7-7 9:0:0;50.48
1989-7-7 10:0:0;50.07
1989-7-7 11:0:0;49.34
1989-7-7 12:0:0;51.68
1989-7-7 13:0:0;49.62
1989-7-7 14:0:0;49.62
1989-7-7 15:0:0;48.22
1989-7-7 16:0:0;46.04
1989-7-7 17:0:0;46.96
1989-7-7 18:0:0;47.97
1989-7-7 19:0:0;48.87
1989-7-7 20:0:0;48.97
1989-7-7 21:0:0;48.12
1989-7-7 22:0:0;46.85
1989-7-7 23:0:0;46.26
1989-7-8 0:0:0;45.82
1989-7-8 1:0:0;44.45
1989-7-8 2:0:0;44.09
1989-7-8 3:0:0;42.5
1989-7-8 4:0:0;42.46
1989-7-8 5:0:0;41.3
1989-7-8 6:0:0;41.38
1989-7-8 7:0:0;41.89
1989-7-8 8:0:0;43.68
1989-7-8 9:0:0;45.31
1989-7-8 10:0:0;46.96
1989-7-8 11:0:0;47.65
1989-7-8 12:0:0;47.4
1989-7-8 13:0:0;46.88
1989-7-8 14:0:0;46.45
1989-7-8 15:0:0;45.86
1989-7-8 16:0:0;45.13
1989-7-8 17:0:0;45.29
1989-7-8 18:0:0;45.69
1989-7-8 19:0:0;47.28
1989-7-8 20:0:0;48.38
1989-7-8 21:0:0;48.18
1989-7-8 22:0:0;45.76
1989-7-8 23:0:0;44.68
1989-7-9 0:0:0;44.19
1989-7-9 1:0:0;43.62
1989-7-9 2:0:0;43.09
1989-7-9 3:0:0;42.26
1989-7-9 4:0:0;42.36
1989-7-9 5:0:0;42.05
1989-7-9 6:0:0;41.56
1989-7-9 7:0:0;42.05
1989-7-9 8:0:0;42.58
1989-7-9 9:0:0;43.58
1989-7-9 10:0:0;45.23
1989-7-9 11:0:0;47.04
1989-7-9 12:0:0;47.91
1989-7-9 13:0:0;48.95
1989-7-9 14:0:0;48.36
1989-7-9 15:0:0;47.69
1989-7-9 16:0:0;46.98
1989-7-9 17:0:0;46.71
1989-7-9 18:0:0;48.54
1989-7-9 19:0:0;48.93
1989-7-9 20:0:0;49.17
1989-7-9 21:0:0;48.83
1989-7-9 22:0:0;47.69
1989-7-9 23:0:0;46.43
1989-7-10 0:0:0;45.33
1989-7-10 1:0:0;45.1
1989-7-10 2:0:0;44.78
1989-7-10 3:0:0;44.01
1989-7-10 4:0:0;43.54
1989-7-10 5:0:0;43.64
1989-7-10 6:0:0;44.51
1989-7-10 7:0:0;46.47
1989-7-10 8:0:0;50.68
